item_name,item_category,item_price_AMBA,item_price_restoPBA,item_price_CCL,item_price_neaNOA,item_price_Patagonia
Aceite Girasol Cada Día x 1500 cc,Almacén,"$ 121,00","$ 125,24","$ 127,66","$ 129,47","$ 130,68"
Aceite Girasol Cada Día x 900 cc,Almacén,"$ 75,00","$ 77,63","$ 79,13","$ 80,25","$ 81,00"
Aceite Girasol Florencia x 1500 cc,Almacén,"$ 121,00","$ 125,24","$ 127,66","$ 129,47","$ 130,68"
Aceite Girasol Florencia x 900 cc,Almacén,"$ 75,00","$ 77,63","$ 79,13","$ 80,25","$ 81,00"
Aceite Girasol Ideal x 1500 cc,Almacén,"$ 121,00","$ 125,24","$ 127,66","$ 129,47","$ 130,68"
Aceite Girasol Ideal x 900 cc,Almacén,"$ 75,00","$ 77,63","$ 79,13","$ 80,25","$ 81,00"
Aceite Girasol Primor x 1500 cc,Almacén,"$ 121,00","$ 125,24","$ 127,66","$ 129,47","$ 130,68"
Aceite Girasol Primor x 900 cc,Almacén,"$ 75,00","$ 77,63","$ 79,13","$ 80,25","$ 81,00"
Aceto balsámico Monterrey x 250 cc,Almacén,"$ 77,00","$ 77,00","$ 77,00","$ 77,00","$ 77,00"
Acondicionador Balance doypack Polyana x 300 ml,Perfumería,"$ 50,00","$ 50,00","$ 50,00","$ 50,00","$ 50,00"
Acondicionador Coco y leche Algabo x 930 ml,Perfumería,"$ 81,00","$ 81,00","$ 81,00","$ 81,00","$ 81,00"
Acondicionador Hidratación Plusbelle x 1 lt,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Acondicionador Nutrición Sedal x 340 ml,Perfumería,"$ 120,00","$ 120,00","$ 120,00","$ 120,00","$ 120,00"
Agua de Mesa sin gas Nihuil x 2 lt,Bebidas,"$ 34,00","$ 35,19","$ 35,87","$ 36,38","$ 36,72"
"Agua Mineral Natural con gas Sierra de los Padres x 1,5 lt",Bebidas,"$ 41,00","$ 42,44","$ 43,26","$ 43,87","$ 44,28"
"Agua Mineral Natural sin gas Sierra de los Padres x 1,5 lt",Bebidas,"$ 41,00","$ 42,44","$ 43,26","$ 43,87","$ 44,28"
Agua Mineralizada Con gas Cellier Favaloro x 2 lt,Bebidas,"$ 34,00","$ 35,19","$ 35,87","$ 36,38","$ 36,72"
Agua Mineralizada Sin gas Cellier Favaloro x 2 lt,Bebidas,"$ 34,00","$ 35,19","$ 35,87","$ 36,38","$ 36,72"
Alfajor 6 unidades Tita x 36 gr,Almacén,"$ 134,00","$ 134,00","$ 134,00","$ 134,00","$ 134,00"
Algodón Hidrófilo clásico Doncella x 140 gr,Perfumería,"$ 77,00","$ 77,00","$ 77,00","$ 77,00","$ 77,00"
Anillo de coco Tía Maruca x 250 gr,Almacén,"$ 54,00","$ 55,89","$ 56,97","$ 57,78","$ 58,32"
Arroz Largo fino 00000 Primor x 1 kg,Almacén,"$ 53,50","$ 55,37","$ 56,44","$ 57,25","$ 57,78"
Arroz Largo fino Apóstoles x 1 kg,Almacén,"$ 54,50","$ 56,41","$ 57,50","$ 58,32","$ 58,86"
Arroz No se pasa Apóstoles x 1 kg,Almacén,"$ 64,00","$ 66,24","$ 67,52","$ 68,48","$ 69,12"
Arroz Parboil bolsa Gallo x 500 gr,Almacén,"$ 43,50","$ 45,02","$ 45,89","$ 46,55","$ 46,98"
Arroz Parboil Primor x 1 kg,Almacén,"$ 66,50","$ 68,83","$ 70,16","$ 71,16","$ 71,82"
Atún desmenuzado al natural Supermercado x 170 gr,Almacén,"$ 69,00","$ 69,00","$ 69,00","$ 69,00","$ 69,00"
Atún desmenuzado en aceite Supermercado x 170 gr,Almacén,"$ 69,00","$ 69,00","$ 69,00","$ 69,00","$ 69,00"
Bizcocho arroz azucarado Tía Maruca x 100 gr,Almacén,"$ 49,00","$ 50,72","$ 51,70","$ 52,43","$ 52,92"
Cacao en polvo Arcoa x 180 gr,Almacén,"$ 39,00","$ 39,00","$ 39,00","$ 39,00","$ 39,00"
Cacao en polvo Dulce Ravana x 180 gr,Almacén,"$ 34,00","$ 34,00","$ 34,00","$ 34,00","$ 34,00"
Café Molido La Morenita x 1 kg,Almacén,"$ 432,00","$ 432,00","$ 432,00","$ 432,00","$ 432,00"
Café Molido torrado suave Bonafide x 500 gr,Almacén,"$ 252,00","$ 252,00","$ 252,00","$ 252,00","$ 252,00"
Caldo Gallina Knorr x 12 un,Almacén,"$ 75,00","$ 75,00","$ 75,00","$ 75,00","$ 75,00"
Cebolla comercial Supermercado x 1 kg,Frutas y verduras,"$ 26,00","$ 26,91","$ 27,43","$ 27,82","$ 28,08"
Cepillo dental adulto 2-life IBC x 1 un,Perfumería,"$ 38,00","$ 38,00","$ 38,00","$ 38,00","$ 38,00"
Cepillo dental infantil 2-life IBC x 1 un,Perfumería,"$ 39,00","$ 39,00","$ 39,00","$ 39,00","$ 39,00"
Cerveza botella retornable Quilmes Bajo Cero x 1 lt,Bebidas con alcohol,"$ 85,00","$ 85,00","$ 85,00","$ 85,00","$ 85,00"
Cerveza porrón retornable Quilmes Clásica x 340 cc,Bebidas con alcohol,"$ 35,00","$ 35,00","$ 35,00","$ 35,00","$ 35,00"
Cerveza rubia botella retornable Isenbeck x 1 lt,Bebidas con alcohol,"$ 90,00","$ 90,00","$ 90,00","$ 90,00","$ 90,00"
Cerveza rubia en lata Isenbeck x 473 cc,Bebidas con alcohol,"$ 60,00","$ 60,00","$ 60,00","$ 60,00","$ 60,00"
Crema de leche Para cocinar tenor graso 20% La Armonía x 200 cc,Lácteos,"$ 71,00","$ 73,49","$ 74,91","$ 75,97","$ 76,68"
Crema de leche Sancor x 200 gr,Lácteos,"$ 79,00","$ 81,77","$ 83,35","$ 84,53","$ 85,32"
Desodorante Deo en aerosol AP antibacterial Rexona x 150 ml,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Desodorante Deo Protect & Care Fem Nivea x 150 ml,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Desodorante En aerosol body spray gold Axe x 150 ml,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Desodorante Men Deo Sensitive Nivea x 150 ml,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Desodorante Roll on Plusbelle Care x 50 ml,Perfumería,"$ 76,00","$ 76,00","$ 76,00","$ 76,00","$ 76,00"
Desodorante W Deo en aerosol AP antibacterial Rexona x 150 ml,Perfumería,"$ 99,00","$ 99,00","$ 99,00","$ 99,00","$ 99,00"
Dulce de batata Estuche Esnaola x 500 gr,Almacén,"$ 83,00","$ 83,00","$ 83,00","$ 83,00","$ 83,00"
Dulce de Leche Clásico La Armonía x 400 gr,Lácteos,"$ 91,00","$ 94,19","$ 96,01","$ 97,37","$ 98,28"
